City,Total Sales,Internal Market Share %
Virginia Beach,5752.13,0.2543
Everett,5665.7339999999995,0.2505
Lakeland,5606.886499999999,0.2479
Anaheim,5600.548000000001,0.2476
Tulsa,5556.97,0.2457
Alexandria,5519.570000000001,0.2441
Clinton,5514.251,0.2438
Des Moines,5463.278,0.2416
Mobile,5462.99,0.2416
Madison,5346.790000000002,0.2364
Midland,5291.512,0.234
Cleveland,5281.503000000001,0.2335
Tampa,5196.080500000002,0.2298
Brentwood,5090.113999999999,0.2251
Morristown,5033.099999999999,0.2226
Dover,4878.074,0.2157
Fort Lauderdale,4855.212500000001,0.2147
Round Rock,4854.0528,0.2146
Lowell,4837.93,0.2139
Indianapolis,4834.1,0.2138
Jamestown,4708.79,0.2082
Great Falls,4605.579999999998,0.2036
Troy,4507.090999999999,0.1993
Harrisonburg,4388.71,0.1941
Toledo,4358.935,0.1927
Oceanside,4350.737999999999,0.1924
Raleigh,4312.692,0.1907
Lakeville,4260.95,0.1884
Gilbert,4172.3820000000005,0.1845
Watertown,4044.998,0.1789
Mesa,4037.740000000001,0.1785
Knoxville,3928.166000000001,0.1737
Cranston,3921.986,0.1734
Kenosha,3906.73,0.1727
Portland,3905.1809999999996,0.1727
Santa Barbara,3896.048,0.1723
Parma,3815.788,0.1687
Bellingham,3790.24,0.1676
Amarillo,3773.0628,0.1668
Plainfield,3727.92,0.1648
Montgomery,3722.73,0.1646
Colorado Springs,3694.0089999999996,0.1633
Roseville,3588.626,0.1587
Westminster,3583.486,0.1585
Little Rock,3560.35,0.1574
El Paso,3546.0639999999994,0.1568
Plano,3530.3746,0.1561
Inglewood,3479.3280000000004,0.1538
Salem,3444.2450000000003,0.1523
Santa Ana,3366.31,0.1489
Newport News,3321.9500000000003,0.1469
Burbank,3247.1580000000004,0.1436
Marion,3233.1459999999997,0.143
Rockford,3166.228,0.14
Auburn,3155.168,0.1395
Torrance,3132.268,0.1385
Noblesville,3091.1800000000003,0.1367
Waynesboro,3058.7699999999995,0.1353
Orem,2994.0879999999997,0.1324
Smyrna,2978.579,0.1317
Monroe,2970.4339999999997,0.1313
Marietta,2938.62,0.1299
Glendale,2917.865,0.129
Jonesboro,2915.32,0.1289
Redlands,2891.021,0.1278
Washington,2865.0199999999995,0.1267
Provo,2761.2339999999995,0.1221
Akron,2724.244,0.1205
Hampton,2722.26,0.1204
Hempstead,2589.586,0.1145
Beverly,2583.1900000000005,0.1142
Sparks,2561.96,0.1133
Huntington Beach,2527.82,0.1118
Edmonds,2523.6920000000005,0.1116
Medina,2477.722,0.1096
Broken Arrow,2439.53,0.1079
Warwick,2426.84,0.1073
Independence,2417.37,0.1069
Greensboro,2406.7799999999997,0.1064
Dublin,2401.16,0.1062
Hialeah,2338.9489999999996,0.1034
Paterson,2243.2100000000005,0.0992
Albuquerque,2220.16,0.0982
Clarksville,2217.7299999999996,0.0981
Pasco,2201.112,0.0973
Pleasant Grove,2138.178,0.0945
Gresham,2133.424,0.0943
Manchester,2126.2799999999997,0.094
Mount Vernon,2119.632,0.0937
Greenville,2117.83,0.0936
Bowling Green,2077.375,0.0919
San Gabriel,2061.01,0.0911
Westland,2057.976,0.091
Apple Valley,2053.021,0.0908
Chico,2050.1780000000003,0.0907
Carrollton,2047.5339999999999,0.0905
Highland Park,2035.096,0.09
Spokane,2027.9180000000001,0.0897
Lorain,2015.1109999999999,0.0891
Sandy Springs,1997.03,0.0883
Chester,1968.4789999999998,0.087
Redondo Beach,1959.8029999999999,0.0867
Wheeling,1946.9660000000001,0.0861
Riverside,1944.2459999999999,0.086
Belleville,1891.6000000000001,0.0836
Peoria,1842.832,0.0815
Las Vegas,1834.02,0.0811
Georgetown,1786.4200000000003,0.079
Trenton,1765.1950000000002,0.0781
Evanston,1753.799,0.0775
Orlando,1740.0800000000002,0.0769
Hattiesburg,1722.8400000000001,0.0762
Muskogee,1721.7,0.0761
Perth Amboy,1717.0800000000002,0.0759
Pembroke Pines,1714.3755,0.0758
Kent,1697.5560000000003,0.0751
Bethlehem,1689.634,0.0747
Dubuque,1687.3,0.0746
Pueblo,1686.938,0.0746
Appleton,1671.31,0.0739
Greenwood,1665.0500000000002,0.0736
Saint Charles,1659.6499999999999,0.0734
Eau Claire,1645.65,0.0728
Lake Forest,1625.5359999999998,0.0719
Cincinnati,1611.976,0.0713
Lansing,1610.2860000000003,0.0712
Dearborn,1603.31,0.0709
Cheyenne,1603.136,0.0709
Suffolk,1597.9,0.0707
Bloomington,1567.74,0.0693
Passaic,1562.0860000000002,0.0691
Oxnard,1558.1000000000001,0.0689
Meriden,1550.68,0.0686
Pharr,1540.708,0.0681
Miramar,1531.192,0.0677
Lehi,1516.726,0.0671
Des Plaines,1493.212,0.066
Pomona,1482.502,0.0656
Asheville,1475.3760000000002,0.0652
Camarillo,1467.5175,0.0649
Scottsdale,1466.307,0.0648
Eugene,1465.032,0.0648
Hackensack,1456.16,0.0644
Southaven,1455.3899999999999,0.0644
Plantation,1436.8359999999998,0.0635
Athens,1434.72,0.0634
Bossier City,1417.18,0.0627
Tamarac,1413.51,0.0625
Tigard,1393.782,0.0616
Bakersfield,1377.29,0.0609
Norman,1351.3300000000002,0.0598
Pocatello,1344.942,0.0595
Saint Cloud,1331.82,0.0589
Waterbury,1326.06,0.0586
Carol Stream,1305.81,0.0577
Superior,1299.73,0.0575
Brownsville,1292.2268,0.0571
Richardson,1288.4640000000002,0.057
Naperville,1288.3029999999999,0.057
Quincy,1276.4589999999998,0.0564
Moreno Valley,1262.466,0.0558
Bristol,1251.1819999999998,0.0553
Renton,1242.6319999999998,0.0549
South Bend,1238.3300000000002,0.0548
Stockton,1227.6,0.0543
Vallejo,1221.4099999999999,0.054
Hesperia,1213.1715,0.0536
Danville,1202.2540000000001,0.0532
Bangor,1164.45,0.0515
Middletown,1154.6099999999997,0.0511
Twin Falls,1148.806,0.0508
Sioux Falls,1137.42,0.0503
Fremont,1119.01,0.0495
Costa Mesa,1117.5339999999999,0.0494
Rio Rancho,1114.192,0.0493
Redmond,1098.2569999999998,0.0486
Boise,1094.4699999999998,0.0484
Hollywood,1070.474,0.0473
Tempe,1070.302,0.0473
Parker,1067.942,0.0472
Chandler,1067.403,0.0472
Lawton,1057.4899999999998,0.0468
Dearborn Heights,1051.57,0.0465
Chula Vista,1041.62,0.0461
Laredo,1024.34,0.0453
La Porte,1021.34,0.0452
Olympia,1020.448,0.0451
Grand Prairie,1012.486,0.0448
Chattanooga,988.803,0.0437
New Rochelle,977.6580000000001,0.0432
Odessa,976.124,0.0432
Milford,961.7400000000001,0.0425
Edmond,959.55,0.0424
Avondale,946.808,0.0419
Fort Collins,935.252,0.0414
Fargo,919.91,0.0407
Longmont,915.0880000000001,0.0405
Apopka,904.554,0.04
Olathe,895.79,0.0396
Gastonia,895.06,0.0396
Deltona,893.2399999999999,0.0395
Elmhurst,891.6279999999999,0.0394
Ann Arbor,889.273,0.0393
Maple Grove,882.87,0.039
Durham,879.96,0.0389
League City,875.368,0.0387
Reading,873.712,0.0386
Mcallen,866.7159999999999,0.0383
El Cajon,865.616,0.0383
Woodstock,857.2500000000001,0.0379
Allentown,853.252,0.0377
Yuma,840.865,0.0372
Revere,833.26,0.0368
Buffalo Grove,831.399,0.0368
La Crosse,830.41,0.0367
Wichita,825.27,0.0365
Coral Springs,824.992,0.0365
Canton,818.13,0.0362
York,817.9780000000001,0.0362
Temecula,808.666,0.0358
Salt Lake City,802.7760000000001,0.0355
Broomfield,793.504,0.0351
Texas City,790.972,0.035
Mishawaka,776.24,0.0343
Mission Viejo,775.986,0.0343
Johnson City,765.8480000000002,0.0339
Thornton,765.248,0.0338
Saint Petersburg,753.1840000000001,0.0333
Kissimmee,751.984,0.0333
Freeport,739.15,0.0327
Port Arthur,737.0527999999999,0.0326
Salinas,728.8910000000001,0.0322
Farmington,718.72,0.0318
Saint Peters,697.16,0.0308
Mentor,693.1300000000001,0.0306
Vancouver,686.8359999999999,0.0304
Park Ridge,685.0,0.0303
Texarkana,654.24,0.0289
San Angelo,650.636,0.0288
Vineland,647.966,0.0287
Reno,644.062,0.0285
Sunnyvale,636.2099999999999,0.0281
Woodbury,607.65,0.0269
Overland Park,606.91,0.0268
Waco,606.1072,0.0268
Irving,605.5,0.0268
Lubbock,592.5640000000001,0.0262
Encinitas,591.981,0.0262
Oak Park,591.0519999999999,0.0261
Utica,575.05,0.0254
Skokie,568.832,0.0252
Mount Pleasant,563.08,0.0249
Mansfield,558.877,0.0247
Lake Charles,547.41,0.0242
Morgan Hill,545.01,0.0241
Moorhead,543.86,0.024
Rome,534.852,0.0236
Green Bay,527.32,0.0233
Hoover,525.85,0.0233
Westfield,519.7199999999999,0.023
Cary,505.208,0.0223
Arvada,503.4,0.0223
Coon Rapids,503.13,0.0222
Cambridge,502.09,0.0222
Pearland,494.996,0.0219
Lebanon,488.896,0.0216
Missoula,487.984,0.0216
Murrieta,484.65,0.0214
Harlingen,471.404,0.0208
Rockville,469.77000000000004,0.0208
Boynton Beach,469.5850000000001,0.0208
Caldwell,455.632,0.0201
Manteca,452.182,0.02
Whittier,444.768,0.0197
Helena,443.84,0.0196
Andover,435.84999999999997,0.0193
Warner Robins,434.8,0.0192
Vacaville,423.28,0.0187
Carlsbad,419.34,0.0185
Norwich,414.03999999999996,0.0183
Covington,413.67999999999995,0.0183
Murray,410.938,0.0182
Summerville,406.93999999999994,0.018
Gaithersburg,405.91999999999996,0.0179
Saginaw,395.85999999999996,0.0175
Grand Rapids,392.59,0.0174
Lincoln Park,387.602,0.0171
Wilson,368.73199999999997,0.0163
La Mesa,367.53000000000003,0.0163
Normal,366.744,0.0162
Macon,364.01000000000005,0.0161
Taylor,353.7,0.0156
Tyler,347.206,0.0154
Orland Park,339.96,0.015
Murfreesboro,337.33299999999997,0.0149
Clifton,336.82,0.0149
Redding,333.576,0.0147
Meridian,329.052,0.0145
Hamilton,328.224,0.0145
Modesto,326.15,0.0144
Oswego,321.978,0.0142
Hendersonville,319.538,0.0141
Visalia,318.78000000000003,0.0141
Wausau,317.47999999999996,0.014
Garden City,312.38000000000005,0.0138
West Jordan,311.85,0.0138
Conway,301.96,0.0134
Holyoke,301.96,0.0134
College Station,291.04200000000003,0.0129
Laguna Niguel,290.983,0.0129
Allen,290.20599999999996,0.0128
Saint Louis,285.96000000000004,0.0126
North Charleston,284.25,0.0126
Lake Elsinore,283.92,0.0126
Ontario,283.92,0.0126
Logan,280.276,0.0124
Cedar Rapids,278.4,0.0123
Palm Coast,274.428,0.0121
Manhattan,273.96,0.0121
Daytona Beach,272.3315,0.012
Haltom City,269.32800000000003,0.0119
East Point,268.4,0.0119
Woodland,264.66200000000003,0.0117
Draper,263.65,0.0117
San Bernardino,256.136,0.0113
West Allis,250.48000000000002,0.0111
Port Saint Lucie,248.95,0.011
Hot Springs,245.82999999999998,0.0109
Delray Beach,242.536,0.0107
Kirkwood,241.34,0.0107
Thousand Oaks,238.804,0.0106
New Bedford,235.97000000000003,0.0104
Rancho Cucamonga,231.852,0.0103
Malden,228.38,0.0101
Bedford,226.25600000000003,0.01
Sanford,225.54600000000002,0.01
Santa Clara,222.192,0.0098
Corpus Christi,220.544,0.0098
Bolingbrook,218.308,0.0097
Leominster,217.49,0.0096
Eagan,214.28,0.0095
Pine Bluff,212.91,0.0094
Orange,211.11,0.0093
New Albany,209.55,0.0093
Marlborough,206.64,0.0091
Woonsocket,195.54999999999998,0.0086
Saint Paul,192.82999999999998,0.0085
Bayonne,183.4,0.0081
Tuscaloosa,175.70000000000002,0.0078
Elkhart,171.43,0.0076
Gulfport,166.5,0.0074
Gladstone,164.34,0.0073
Coachella,163.55,0.0072
Glenview,158.376,0.007
Rapid City,152.64000000000001,0.0067
Laurel,152.59,0.0067
Champaign,151.96,0.0067
Thomasville,151.292,0.0067
Urbandale,149.12,0.0066
Commerce City,146.352,0.0065
Pico Rivera,145.9,0.0065
Cottage Grove,144.35999999999999,0.0064
Beaumont,143.524,0.0063
The Colony,142.16,0.0063
West Palm Beach,141.328,0.0062
Holland,137.86,0.0061
Coppell,135.936,0.006
Homestead,132.552,0.0059
Rochester Hills,132.52,0.0059
Citrus Heights,129.39,0.0057
Englewood,124.056,0.0055
Grove City,123.588,0.0055
Cedar Hill,122.376,0.0054
Longview,119.21000000000001,0.0053
Palatine,116.312,0.0051
Lewiston,115.664,0.0051
Santa Maria,115.44,0.0051
Linden,115.36,0.0051
Conroe,111.672,0.0049
Clovis,111.42,0.0049
Sterling Heights,110.03999999999999,0.0049
San Marcos,108.44399999999999,0.0048
Bellevue,103.622,0.0046
Charlottesville,102.60999999999999,0.0045
Marysville,102.18,0.0045
Santa Fe,100.92,0.0045
Las Cruces,98.77,0.0044
Frankfort,97.632,0.0043
Melbourne,95.616,0.0042
Escondido,94.548,0.0042
Pompano Beach,90.44,0.004
Medford,90.218,0.004
San Clemente,90.05799999999999,0.004
Kenner,89.32000000000001,0.0039
Bartlett,88.96,0.0039
Edinburg,88.27600000000001,0.0039
Hillsboro,87.838,0.0039
Jefferson City,86.62,0.0038
New Castle,84.61,0.0037
Sheboygan,79.74000000000001,0.0035
Sierra Vista,76.07199999999999,0.0034
San Mateo,75.18,0.0033
Shelton,73.33,0.0032
Littleton,72.294,0.0032
Owensboro,71.18,0.0031
Garland,67.704,0.003
Bryan,65.84,0.0029
Coral Gables,64.248,0.0028
Boca Raton,63.007999999999996,0.0028
Frisco,57.504,0.0025
Lindenhurst,55.48,0.0025
Waukesha,54.5,0.0024
Bridgeton,52.410000000000004,0.0023
Mesquite,52.147999999999996,0.0023
Yucaipa,50.8,0.0022
La Quinta,46.32,0.002
Hagerstown,43.8,0.0019
Bozeman,43.66,0.0019
Redwood City,41.904,0.0019
Grapevine,41.528,0.0018
Hickory,40.764,0.0018
Rogers,40.41,0.0018
Nashua,35.94,0.0016
Royal Oak,35.34,0.0016
Niagara Falls,34.992000000000004,0.0015
Goldsboro,34.944,0.0015
Davis,32.4,0.0014
East Orange,31.8,0.0014
Greeley,30.351999999999997,0.0013
Waterloo,30.32,0.0013
Cuyahoga Falls,29.093999999999998,0.0013
Montebello,27.88,0.0012
Danbury,27.46,0.0012
Aberdeen,25.5,0.0011
Atlantic City,23.36,0.001
Bullhead City,22.288,0.001
Tinley Park,22.288,0.001
North Miami,22.128,0.001
Loveland,20.964000000000002,9.0E-4
Altoona,20.451,9.0E-4
Antioch,19.44,9.0E-4
Norfolk,17.43,8.0E-4
Portage,16.28,7.0E-4
Grand Island,15.96,7.0E-4
Margate,15.552,7.0E-4
New Brunswick,14.77,7.0E-4
Arlington Heights,14.112,6.0E-4
Chapel Hill,14.016,6.0E-4
Rock Hill,11.85,5.0E-4
Baytown,10.368,5.0E-4
Iowa City,9.99,4.0E-4
Romeoville,8.952,4.0E-4
Billings,8.288,4.0E-4
Port Orange,7.824,3.0E-4
Deer Park,6.924,3.0E-4
Missouri City,6.37,3.0E-4
Keller,6.0,3.0E-4
Layton,4.96,2.0E-4
Springdale,4.3,2.0E-4
San Luis Obispo,3.62,2.0E-4
Ormond Beach,2.808,1.0E-4
Pensacola,2.214,1.0E-4
Jupiter,2.064,1.0E-4
Elyria,1.824,1.0E-4
Abilene,1.392,1.0E-4
